player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
Javonte Smart,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Jaxson Hayes,5,26.0,10.9,3.1,2.0,0.3,0.2,0.4,0.673,0.673,0.6
Jay Huff,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Jaylen Brown,28,26.0,34.0,22.7,4.8,3.7,1.1,0.7,0.478,0.536,2.4
Jaylen Nowell,0,9.0,17.3,5.7,1.6,1.8,0.3,0.0,0.4,0.436,0.6
Jaylin Williams,1,21.0,12.8,4.3,3.4,1.3,0.3,0.1,0.4,0.513,0.5
Jayson Tatum,47,26.0,36.8,26.8,8.7,4.2,1.0,0.5,0.476,0.552,3.0
Jeenathan Williams,0,4.0,5.5,3.3,0.0,0.5,0.3,0.0,0.545,0.545,0.0
Jeff Green,3,25.0,15.4,7.0,2.2,0.7,0.2,0.5,0.568,0.616,0.7
Jerami Grant,1,23.0,35.3,22.6,3.8,2.5,0.8,0.8,0.456,0.534,2.3
Jeremiah Robinson-Earl,0,12.0,10.9,4.6,2.7,0.6,0.2,0.0,0.568,0.662,0.5
Jeremy Sochan,2,27.0,29.3,10.3,5.6,4.1,0.7,0.3,0.416,0.456,2.2
Jericho Sims,0,14.0,7.4,1.6,1.7,0.2,0.1,0.1,0.667,0.667,0.1
Jermaine Samuels,0,6.0,6.3,2.0,1.3,0.3,0.2,0.2,0.714,0.714,0.0
Jerome Robinson,0,2.0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jett Howard,0,8.0,4.3,1.4,0.5,0.4,0.0,0.0,0.267,0.333,0.3
Jevon Carter,0,30.0,14.5,5.4,0.7,1.2,0.5,0.3,0.377,0.491,0.6
Jimmy Butler,15,23.0,34.0,21.5,5.2,4.6,1.1,0.4,0.462,0.492,1.8
Jock Landale,0,17.0,8.9,1.7,1.9,0.6,0.3,0.2,0.333,0.364,0.5
Joe Harris,0,11.0,12.0,2.5,0.9,0.8,0.3,0.2,0.323,0.435,0.3
Joe Ingles,1,24.0,18.2,4.9,2.8,3.4,0.8,0.1,0.404,0.532,0.8
Joel Embiid,48,25.0,34.2,35.0,11.7,6.0,1.2,2.0,0.54,0.566,3.8
John Collins,4,25.0,30.3,14.3,8.2,0.8,0.7,1.0,0.479,0.543,1.6
John Konchar,0,22.0,18.0,3.4,4.1,1.4,0.8,0.7,0.361,0.472,0.5
Johnny Davis,0,14.0,9.1,3.1,1.4,0.4,0.5,0.1,0.475,0.488,0.4
Johnny Juzang,0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jonas Valanciunas,0,29.0,27.7,14.8,9.8,2.5,0.5,1.3,0.577,0.615,1.4
Jonathan Isaac,0,20.0,13.7,6.5,4.3,0.3,0.9,1.2,0.447,0.51,0.6
Jonathan Kuminga,7,27.0,21.3,12.5,3.7,1.0,0.7,0.3,0.506,0.548,1.3
Jordan Clarkson,3,19.0,30.8,16.6,3.4,4.9,0.8,0.2,0.399,0.453,3.0
Jordan Ford,0,6.0,3.7,2.0,0.3,0.3,0.0,0.0,0.571,0.714,0.2
Jordan Goodwin,1,28.0,18.2,6.1,4.0,2.6,0.7,0.3,0.374,0.442,0.9
Jordan Hawkins,1,27.0,23.9,10.7,3.1,1.5,0.4,0.0,0.382,0.5,0.8
